word,layer_0,layer_1,layer_2
government,1.0,0.649,0.487
The,1.0,0.739,0.722
discovery,1.0,0.653,0.539
exhibition,1.0,0.837,0.788
formal,1.0,0.618,0.48
series,1.0,0.631,0.476
statements,1.0,0.731,0.619
showing,1.0,0.68,0.561
true,1.0,0.679,0.551
else,1.0,0.663,0.556
necessarily,1.0,0.707,0.615
follows,1.0,0.687,0.511
enter,1.0,0.694,0.548
involved,1.0,0.758,0.643
condition,1.0,0.642,0.523
project,1.0,0.7,0.571
do,1.0,0.527,0.473
units,1.0,0.705,0.531
express,1.0,0.693,0.582
weight,1.0,0.686,0.577
concern,1.0,0.652,0.571
affair,1.0,0.721,0.654
thought,1.0,0.589,0.443
strong,1.0,0.658,0.536
sexual,1.0,0.712,0.593
feel,1.0,0.735,0.673
desire,1.0,0.725,0.697
want,1.0,0.722,0.658
strongly,1.0,0.77,0.637
expression,1.0,0.739,0.641
character,1.0,0.732,0.632
separate,1.0,0.587,0.434
writing,1.0,0.67,0.582
facility,1.0,0.735,0.605
secure,1.0,0.566,0.411
often,1.0,0.625,0.464
where,1.0,0.655,0.472
emit,1.0,0.87,0.836
noise,1.0,0.753,0.705
sound,1.0,0.675,0.555
contact,1.0,0.703,0.601
possibly,1.0,0.655,0.479
out,1.0,0.509,0.435
information,1.0,0.662,0.55
understand,1.0,0.745,0.708
realize,1.0,0.718,0.7
get,1.0,0.659,0.609
know,1.0,0.706,0.658
aware,1.0,0.774,0.714
head,1.0,0.627,0.482
country,1.0,0.666,0.559
chief,1.0,0.651,0.438
executive,1.0,0.626,0.504
republic,1.0,0.879,0.752
lips,1.0,0.814,0.749
touch,1.0,0.611,0.473
press,1.0,0.581,0.396
against,1.0,0.59,0.406
mouth,1.0,0.873,0.792
other,1.0,0.55,0.375
love,1.0,0.594,0.457
etc,1.0,0.848,0.737
natural,1.0,0.692,0.543
force,1.0,0.669,0.504
drawing,1.0,0.768,0.671
change,1.0,0.629,0.489
decrease,1.0,0.692,0.622
gradual,1.0,0.806,0.743
charge,1.0,0.629,0.459
current,1.0,0.586,0.435
evaluation,1.0,0.78,0.689
estimation,1.0,0.621,0.592
worth,1.0,0.622,0.444
grade,1.0,0.68,0.566
letter,1.0,0.734,0.624
indicating,1.0,0.782,0.634
student,1.0,0.628,0.499
responsibility,1.0,0.756,0.671
managing,1.0,0.812,0.755
rush,1.0,0.696,0.569
toward,1.0,0.657,0.526
fail,1.0,0.785,0.67
suffer,1.0,0.754,0.758
failure,1.0,0.691,0.578
property,1.0,0.67,0.519
An,1.0,0.802,0.808
text,1.0,0.774,0.641
corresponding,1.0,0.832,0.811
note,1.0,0.619,0.454
source,1.0,0.641,0.524
quoted,1.0,0.604,0.439
passage,1.0,0.683,0.613
instance,1.0,0.722,0.643
visual,1.0,0.813,0.775
perception,1.0,0.768,0.722
followed,1.0,0.73,0.605
`,1.0,0.644,0.454
amount,1.0,0.71,0.644
forth,1.0,0.693,0.633
sway,1.0,0.669,0.556
better,1.0,0.658,0.546
A,1.0,0.816,0.79
marking,1.0,0.798,0.67
admission,1.0,0.739,0.624
community,1.0,0.654,0.493
admitting,1.0,0.872,0.787
full,1.0,0.577,0.414
participation,1.0,0.837,0.714
church,1.0,0.65,0.531
regard,1.0,0.689,0.558
location,1.0,0.722,0.645
single,1.0,0.623,0.475
command,1.0,0.735,0.554
Change,1.0,0.685,0.636
give,1.0,0.697,0.639
receive,1.0,0.736,0.642
stop,1.0,0.611,0.47
placed,1.0,0.672,0.491
sentence,1.0,0.71,0.598
drug,1.0,0.654,0.482
grow,1.0,0.687,0.567
rapidly,1.0,0.58,0.412
increase,1.0,0.612,0.449
manner,1.0,0.721,0.676
high,1.0,0.585,0.401
pitched,1.0,0.528,0.352
tone,1.0,0.622,0.58
voice,1.0,0.675,0.579
animal,1.0,0.794,0.72
human,1.0,0.688,0.516
might,1.0,0.6,0.537
sounds,1.0,0.665,0.558
animals,1.0,0.749,0.673
kept,1.0,0.654,0.474
use,1.0,0.595,0.43
profit,1.0,0.698,0.555
variety,1.0,0.693,0.571
within,1.0,0.72,0.548
discipline,1.0,0.79,0.718
branch,1.0,0.811,0.713
knowledge,1.0,0.667,0.608
records,1.0,0.597,0.432
past,1.0,0.59,0.441
events,1.0,0.751,0.634
involving,1.0,0.71,0.517
aim,1.0,0.652,0.532
attack,1.0,0.634,0.49
victim,1.0,0.643,0.508
influence,1.0,0.724,0.605
military,1.0,0.607,0.437
lost,1.0,0.647,0.443
death,1.0,0.62,0.505
capture,1.0,0.704,0.567
escape,1.0,0.754,0.61
avoid,1.0,0.777,0.711
loss,1.0,0.638,0.516
giving,1.0,0.74,0.61
up,1.0,0.452,0.362
selling,1.0,0.692,0.516
less,1.0,0.578,0.513
than,1.0,0.524,0.394
its,1.0,0.417,0.309
sharp,1.0,0.669,0.614
quantity,1.0,0.707,0.638
key,1.0,0.588,0.425
pitch,1.0,0.677,0.535
volume,1.0,0.642,0.499
likely,1.0,0.634,0.504
reasons,1.0,0.758,0.654
music,1.0,0.635,0.529
message,1.0,0.725,0.606
refusing,1.0,0.805,0.687
offered,1.0,0.626,0.472
speaking,1.0,0.758,0.623
bring,1.0,0.735,0.637
silence,1.0,0.757,0.654
opening,1.0,0.589,0.43
obstructed,1.0,0.761,0.648
cut,1.0,0.617,0.406
wear,1.0,0.676,0.597
away,1.0,0.633,0.555
plant,1.0,0.686,0.535
structure,1.0,0.689,0.566
near,1.0,0.716,0.533
top,1.0,0.601,0.443
forms,1.0,0.605,0.471
list,1.0,0.738,0.578
particular,1.0,0.624,0.477
being,1.0,0.575,0.498
bill,1.0,0.686,0.572
stress,1.0,0.768,0.66
above,1.0,0.605,0.419
believing,1.0,0.772,0.658
confidence,1.0,0.686,0.559
others,1.0,0.683,0.543
attempt,1.0,0.704,0.595
effort,1.0,0.629,0.515
goal,1.0,0.679,0.551
intensity,1.0,0.682,0.65
advance,1.0,0.592,0.423
clean,1.0,0.718,0.598
thoroughly,1.0,0.579,0.473
hard,1.0,0.632,0.464
rubbing,1.0,0.792,0.724
small,1.0,0.697,0.538
pieces,1.0,0.765,0.698
injured,1.0,0.765,0.634
broken,1.0,0.601,0.419
pressure,1.0,0.653,0.507
point,1.0,0.64,0.537
direct,1.0,0.613,0.45
weapon,1.0,0.679,0.542
blow,1.0,0.642,0.515
objects,1.0,0.614,0.519
equipment,1.0,0.708,0.565
put,1.0,0.678,0.556
convey,1.0,0.67,0.611
wind,1.0,0.675,0.517
twist,1.0,0.788,0.74
together,1.0,0.718,0.563
performing,1.0,0.748,0.655
holding,1.0,0.793,0.713
flowers,1.0,0.82,0.778
open,1.0,0.61,0.43
glass,1.0,0.736,0.656
hold,1.0,0.63,0.49
preserve,1.0,0.714,0.646
keep,1.0,0.708,0.621
safety,1.0,0.725,0.615
sugar,1.0,0.862,0.804
transport,1.0,0.541,0.361
development,1.0,0.683,0.526
becoming,1.0,0.716,0.627
longer,1.0,0.614,0.439
more,1.0,0.466,0.364
important,1.0,0.612,0.503
sure,1.0,0.724,0.667
careful,1.0,0.686,0.579
supply,1.0,0.694,0.525
furnish,1.0,0.86,0.764
needed,1.0,0.766,0.646
wanted,1.0,0.641,0.485
useful,1.0,0.748,0.693
necessary,1.0,0.672,0.555
off,1.0,0.538,0.414
hair,1.0,0.791,0.726
edge,1.0,0.664,0.481
tool,1.0,0.71,0.628
learn,1.0,0.741,0.688
books,1.0,0.695,0.601
support,1.0,0.61,0.447
lengthen,1.0,0.848,0.83
extend,1.0,0.722,0.622
duration,1.0,0.655,0.586
space,1.0,0.693,0.558
happening,1.0,0.736,0.662
doing,1.0,0.711,0.63
provides,1.0,0.77,0.585
advice,1.0,0.738,0.606
direction,1.0,0.693,0.565
decision,1.0,0.726,0.59
course,1.0,0.664,0.548
actions,1.0,0.746,0.624
self,1.0,0.809,0.639
contained,1.0,0.835,0.758
lessen,1.0,0.865,0.87
impact,1.0,0.762,0.665
severe,1.0,0.572,0.443
opinion,1.0,0.707,0.6
judgment,1.0,0.742,0.662
qualities,1.0,0.741,0.691
whip,1.0,0.634,0.536
beat,1.0,0.604,0.471
severely,1.0,0.649,0.466
form,1.0,0.572,0.414
progress,1.0,0.672,0.555
according,1.0,0.78,0.595
plan,1.0,0.631,0.515
produce,1.0,0.581,0.467
branches,1.0,0.82,0.738
scope,1.0,0.727,0.654
environment,1.0,0.694,0.57
walk,1.0,0.748,0.667
e.g.,1.0,0.741,0.599
numbers,1.0,0.677,0.554
recognize,1.0,0.771,0.722
fact,1.0,0.732,0.638
piece,1.0,0.689,0.595
possess,1.0,0.72,0.628
through,1.0,0.666,0.535
behavior,1.0,0.729,0.633
medium,1.0,0.648,0.528
control,1.0,0.648,0.485
rate,1.0,0.689,0.532
mechanical,1.0,0.792,0.66
various,1.0,0.713,0.56
devices,1.0,0.678,0.562
controlling,1.0,0.68,0.542
fluid,1.0,0.713,0.551
temperature,1.0,0.798,0.702
Form,1.0,0.66,0.557
whole,1.0,0.663,0.514
united,1.0,0.764,0.593
consistent,1.0,0.535,0.444
legs,1.0,0.805,0.726
informal,1.0,0.596,0.475
terms,1.0,0.68,0.54
leg,1.0,0.737,0.616
objective,1.0,0.761,0.696
believed,1.0,0.643,0.518
cold,1.0,0.682,0.551
conditions,1.0,0.758,0.668
apart,1.0,0.699,0.605
percentage,1.0,0.581,0.456
assets,1.0,0.65,0.523
due,1.0,0.721,0.57
contributed,1.0,0.603,0.429
victory,1.0,0.675,0.534
parallel,1.0,0.656,0.528
proper,1.0,0.634,0.494
arrange,1.0,0.775,0.693
straight,1.0,0.72,0.582
cloth,1.0,0.75,0.684
thrown,1.0,0.738,0.586
over,1.0,0.536,0.389
frame,1.0,0.819,0.702
windows,1.0,0.781,0.685
protective,1.0,0.718,0.507
measure,1.0,0.571,0.419
probability,1.0,0.683,0.616
how,1.0,0.707,0.626
will,1.0,0.59,0.486
occur,1.0,0.765,0.692
expressing,1.0,0.737,0.702
ratio,1.0,0.81,0.685
favorable,1.0,0.656,0.521
cases,1.0,0.659,0.521
possible,1.0,0.611,0.445
judges,1.0,0.699,0.558
finds,1.0,0.733,0.536
makes,1.0,0.667,0.499
rescue,1.0,0.651,0.485
release,1.0,0.603,0.442
recovery,1.0,0.677,0.531
danger,1.0,0.775,0.757
perceive,1.0,0.749,0.689
pay,1.0,0.659,0.514
attention,1.0,0.762,0.709
limit,1.0,0.713,0.565
compel,1.0,0.771,0.752
threats,1.0,0.74,0.627
stick,1.0,0.84,0.78
host,1.0,0.527,0.393
invalid,1.0,0.737,0.692
already,1.0,0.594,0.424
begun,1.0,0.72,0.611
enjoy,1.0,0.715,0.651
approve,1.0,0.737,0.655
per,1.0,0.54,0.407
relation,1.0,0.741,0.639
approximate,1.0,0.783,0.788
attribute,1.0,0.718,0.633
definition,1.0,0.791,0.728
example,1.0,0.745,0.644
owner,1.0,0.752,0.637
rocky,1.0,0.781,0.699
sea,1.0,0.71,0.586
calculate,1.0,0.894,0.853
ability,1.0,0.753,0.648
portion,1.0,0.695,0.607
played,1.0,0.737,0.624
bringing,1.0,0.762,0.542
result,1.0,0.649,0.539
most,1.0,0.511,0.393
1,1.0,0.578,0.469
normally,1.0,0.561,0.299
highly,1.0,0.663,0.51
gas,1.0,0.615,0.473
universe,1.0,0.776,0.706
unit,1.0,0.663,0.485
cost,1.0,0.61,0.414
chance,1.0,0.795,0.716
rising,1.0,0.536,0.351
falling,1.0,0.604,0.418
pattern,1.0,0.761,0.726
calendar,1.0,0.727,0.628
period,1.0,0.653,0.558
containing,1.0,0.82,0.711
days,1.0,0.605,0.508
face,1.0,0.577,0.422
courage,1.0,0.802,0.756
medicine,1.0,0.782,0.666
organism,1.0,0.81,0.759
defend,1.0,0.764,0.59
disease,1.0,0.754,0.646
resist,1.0,0.761,0.727
statement,1.0,0.717,0.604
idea,1.0,0.721,0.671
expressed,1.0,0.69,0.593
perform,1.0,0.709,0.653
duty,1.0,0.779,0.679
offices,1.0,0.755,0.641
serve,1.0,0.693,0.533
function,1.0,0.692,0.604
soldier,1.0,0.728,0.599
member,1.0,0.645,0.476
forces,1.0,0.712,0.523
trained,1.0,0.664,0.51
shock,1.0,0.594,0.414
troops,1.0,0.713,0.556
hit,1.0,0.598,0.39
run,1.0,0.655,0.526
raids,1.0,0.737,0.623
master,1.0,0.652,0.498
overcome,1.0,0.737,0.635
deal,1.0,0.585,0.466
damaged,1.0,0.747,0.632
tissue,1.0,0.773,0.694
living,1.0,0.663,0.51
combat,1.0,0.567,0.406
directions,1.0,0.813,0.789
twice,1.0,0.637,0.39
great,1.0,0.547,0.43
Give,1.0,0.891,0.884
incentive,1.0,0.842,0.794
stir,1.0,0.735,0.655
urge,1.0,0.715,0.602
Funeral,1.0,0.902,0.828
trade,1.0,0.662,0.476
funeral,1.0,0.737,0.624
director,1.0,0.684,0.521
catch,1.0,0.723,0.631
fire,1.0,0.688,0.554
method,1.0,0.755,0.657
solving,1.0,0.846,0.709
problem,1.0,0.7,0.625
successful,1.0,0.646,0.496
reach,1.0,0.654,0.524
benchmark,1.0,0.714,0.61
develop,1.0,0.779,0.667
positive,1.0,0.786,0.694
way,1.0,0.628,0.545
somewhere,1.0,0.762,0.662
leave,1.0,0.667,0.527
rope,1.0,0.822,0.773
wire,1.0,0.649,0.503
cable,1.0,0.672,0.534
constructed,1.0,0.795,0.656
underground,1.0,0.699,0.538
trains,1.0,0.725,0.618
cars,1.0,0.704,0.589
identify,1.0,0.769,0.69
because,1.0,0.793,0.641
experience,1.0,0.675,0.547
fully,1.0,0.626,0.415
own,1.0,0.654,0.498
very,1.0,0.555,0.418
slightly,1.0,0.495,0.357
incorporate,1.0,0.838,0.825
food,1.0,0.726,0.604
mixture,1.0,0.715,0.608
repeatedly,1.0,0.668,0.415
turning,1.0,0.778,0.631
without,1.0,0.687,0.552
stirring,1.0,0.785,0.705
beating,1.0,0.598,0.423
guide,1.0,0.715,0.592
draw,1.0,0.701,0.609
pass,1.0,0.695,0.562
across,1.0,0.737,0.611
deliver,1.0,0.681,0.536
harm,1.0,0.658,0.559
harming,1.0,0.927,0.923
strike,1.0,0.686,0.515
medical,1.0,0.627,0.483
procedure,1.0,0.795,0.712
manual,1.0,0.717,0.561
fetus,1.0,0.917,0.89
aid,1.0,0.676,0.543
delivery,1.0,0.685,0.53
continue,1.0,0.757,0.63
begin,1.0,0.658,0.549
anew,1.0,0.688,0.672
come,1.0,0.662,0.59
upon,1.0,0.587,0.469
suddenly,1.0,0.759,0.68
introduction,1.0,0.785,0.705
starting,1.0,0.706,0.578
first,1.0,0.496,0.353
introducing,1.0,0.735,0.629
folding,1.0,0.798,0.71
train,1.0,0.73,0.631
taste,1.0,0.702,0.599
teach,1.0,0.815,0.793
lines,1.0,0.732,0.603
underneath,1.0,0.759,0.67
call,1.0,0.574,0.413
possibility,1.0,0.731,0.622
future,1.0,0.63,0.486
prediction,1.0,0.676,0.642
require,1.0,0.736,0.576
need,1.0,0.674,0.539
indication,1.0,0.806,0.765
damage,1.0,0.717,0.556
burst,1.0,0.699,0.556
light,1.0,0.648,0.524
health,1.0,0.635,0.475
existence,1.0,0.76,0.682
characterized,1.0,0.804,0.67
sense,1.0,0.708,0.65
lack,1.0,0.835,0.773
changing,1.0,0.72,0.629
circuit,1.0,0.739,0.656
returning,1.0,0.764,0.586
circles,1.0,0.945,0.919
several,1.0,0.524,0.364
submit,1.0,0.864,0.806
send,1.0,0.759,0.644
joined,1.0,0.695,0.569
linked,1.0,0.733,0.539
different,1.0,0.688,0.508
during,1.0,0.677,0.478
distinct,1.0,0.626,0.524
acquire,1.0,0.694,0.575
seize,1.0,0.809,0.731
gain,1.0,0.538,0.393
possession,1.0,0.694,0.623
pledge,1.0,0.697,0.514
entirely,1.0,0.592,0.455
decide,1.0,0.773,0.693
schedule,1.0,0.789,0.703
charity,1.0,0.682,0.561
regulate,1.0,0.878,0.869
appeal,1.0,0.663,0.533
superior,1.0,0.639,0.519
status,1.0,0.723,0.592
rank,1.0,0.709,0.559
strength,1.0,0.713,0.658
cease,1.0,0.742,0.675
break,1.0,0.639,0.516
down,1.0,0.523,0.4
reply,1.0,0.745,0.678
question,1.0,0.727,0.64
comment,1.0,0.805,0.756
speech,1.0,0.653,0.574
react,1.0,0.881,0.852
case,1.0,0.623,0.504
forcing,1.0,0.823,0.756
yourself,1.0,0.655,0.542
forced,1.0,0.714,0.581
restricted,1.0,0.676,0.5
explain,1.0,0.817,0.73
pursue,1.0,0.822,0.699
sport,1.0,0.691,0.551
wild,1.0,0.626,0.456
opposition,1.0,0.68,0.545
added,1.0,0.543,0.365
bank,1.0,0.595,0.432
similar,1.0,0.59,0.361
institution,1.0,0.789,0.72
routine,1.0,0.635,0.518
assembled,1.0,0.807,0.751
movement,1.0,0.68,0.581
party,1.0,0.686,0.519
dancing,1.0,0.912,0.855
